customer_id,arrival_time,day_type,service_time_seconds,withdrawal_amount_usd
1,2025-01-01 08:00:14.078043,Normal,31.66,56.38
2,2025-01-01 08:00:16.497185,Normal,38.03,39.5
3,2025-01-01 08:00:27.379797,Normal,13.65,69.01
4,2025-01-01 08:01:14.038964,Normal,37.45,61.95
5,2025-01-01 08:01:40.964105,Normal,46.47,39.69
6,2025-01-01 08:01:42.982023,Normal,37.8,68.95
7,2025-01-01 08:02:18.614358,Normal,42.25,57.79
8,2025-01-01 08:02:29.820755,Normal,78.34,73.87
9,2025-01-01 08:03:16.484449,Payday,54.61,128.25
10,2025-01-01 08:04:17.384633,Normal,32.89,18.33
11,2025-01-01 08:04:36.718137,Payday,108.57,517.22
12,2025-01-01 08:05:40.489955,Payday,54.36,143.82
13,2025-01-01 08:05:56.587920,Payday,63.2,693.61
14,2025-01-01 08:06:06.258541,Payday,69.12,174.26
15,2025-01-01 08:08:21.568136,Payday,73.1,117.58
16,2025-01-01 08:08:22.422916,Payday,97.56,159.61
17,2025-01-01 08:08:25.160708,Payday,70.66,94.01
18,2025-01-01 08:09:35.655786,Payday,70.07,58.29
19,2025-01-01 08:09:37.836711,Payday,71.79,112.98
20,2025-01-01 08:10:40.725123,Normal,42.45,41.46
21,2025-01-01 08:11:20.443229,Payday,68.14,548.35
22,2025-01-01 08:11:35.738408,Payday,58.07,510.92
23,2025-01-01 08:12:00.373626,Normal,51.02,73.16
24,2025-01-01 08:12:09.651090,Payday,27.26,100.16
25,2025-01-01 08:12:36.575359,Payday,96.95,57.37
26,2025-01-01 08:12:49.212694,Normal,61.46,53.51
27,2025-01-01 08:13:54.128633,Payday,79.87,76.39
28,2025-01-01 08:13:55.639919,Normal,50.44,46.68
29,2025-01-01 08:14:17.583503,Normal,33.68,78.08
30,2025-01-01 08:14:39.375366,Payday,90.96,45.63
31,2025-01-01 08:15:06.861295,Payday,98.57,194.75
32,2025-01-01 08:15:33.297625,Payday,102.11,57.48
33,2025-01-01 08:15:40.081157,Payday,51.41,178.13
34,2025-01-01 08:15:56.043799,Normal,44.78,16.53
35,2025-01-01 08:16:00.517068,Payday,118.92,163.01
36,2025-01-01 08:16:06.101289,Normal,46.23,41.35
37,2025-01-01 08:16:12.382748,Normal,49.08,49.85
38,2025-01-01 08:16:23.530056,Payday,57.24,150.38
39,2025-01-01 08:17:26.054335,Normal,34.02,42.23
40,2025-01-01 08:17:26.092423,Payday,72.97,117.28
41,2025-01-01 08:17:55.619130,Payday,66.39,60.64
42,2025-01-01 08:18:02.030546,Normal,51.67,77.28
43,2025-01-01 08:18:09.669354,Payday,59.15,81.04
44,2025-01-01 08:18:23.223886,Normal,59.29,62.35
45,2025-01-01 08:18:25.860637,Normal,59.6,54.53
46,2025-01-01 08:19:05.550404,Payday,53.47,96.18
47,2025-01-01 08:19:09.581997,Normal,33.55,65.4
48,2025-01-01 08:19:34.013502,Payday,62.09,37.46
49,2025-01-01 08:20:05.985239,Payday,70.02,53.08
50,2025-01-01 08:20:20.093168,Normal,46.75,67.57
51,2025-01-01 08:20:55.462742,Payday,86.83,147.21
52,2025-01-01 08:21:10.362003,Normal,46.13,30.74
53,2025-01-01 08:21:15.211456,Payday,64.49,121.3
54,2025-01-01 08:21:32.793066,Payday,62.85,103.83
55,2025-01-01 08:21:53.496841,Payday,81.49,98.69
56,2025-01-01 08:23:07.714516,Normal,54.32,31.48
57,2025-01-01 08:23:32.126626,Normal,38.84,62.6
58,2025-01-01 08:23:35.193472,Normal,66.16,71.15
59,2025-01-01 08:23:40.873819,Payday,88.92,106.38
60,2025-01-01 08:23:50.471138,Payday,85.0,142.08
61,2025-01-01 08:24:03.249658,Payday,80.93,786.39
62,2025-01-01 08:24:26.121362,Normal,61.58,56.09
63,2025-01-01 08:25:12.931597,Payday,91.92,873.76
64,2025-01-01 08:25:35.765452,Payday,85.28,64.22
65,2025-01-01 08:25:39.459840,Normal,48.09,78.75
66,2025-01-01 08:26:10.951413,Normal,45.09,54.65
67,2025-01-01 08:26:24.424008,Normal,34.73,14.23
68,2025-01-01 08:26:51.232984,Normal,49.29,32.14
69,2025-01-01 08:26:59.792372,Payday,31.61,72.23
70,2025-01-01 08:27:16.068922,Normal,29.75,97.78
71,2025-01-01 08:27:46.505046,Normal,67.12,50.3
72,2025-01-01 08:27:58.205637,Normal,50.3,41.11
73,2025-01-01 08:27:59.400956,Payday,65.25,162.97
74,2025-01-01 08:28:22.474673,Payday,85.02,84.86
75,2025-01-01 08:28:54.889822,Normal,35.74,83.23
76,2025-01-01 08:28:59.993444,Normal,48.81,17.76
77,2025-01-01 08:29:32.375154,Normal,49.53,83.03
78,2025-01-01 08:29:48.696290,Normal,36.23,24.4
79,2025-01-01 08:29:49.131233,Normal,42.15,87.44
80,2025-01-01 08:30:08.203897,Payday,83.21,110.76
81,2025-01-01 08:30:38.758390,Normal,45.7,96.96
82,2025-01-01 08:31:11.007633,Normal,42.57,51.22
83,2025-01-01 08:32:35.525297,Normal,22.23,75.61
84,2025-01-01 08:32:53.913976,Normal,53.24,51.42
85,2025-01-01 08:32:56.683686,Payday,50.42,178.08
86,2025-01-01 08:33:07.265861,Payday,70.57,72.92
87,2025-01-01 08:33:10.323609,Payday,91.63,560.19
88,2025-01-01 08:33:27.840227,Payday,95.43,156.76
89,2025-01-01 08:33:49.190964,Payday,83.44,172.41
90,2025-01-01 08:33:55.541742,Payday,107.7,172.47
91,2025-01-01 08:33:57.411937,Payday,68.1,139.57
92,2025-01-01 08:34:51.945688,Payday,103.84,99.51
93,2025-01-01 08:34:52.049564,Payday,76.12,107.61
94,2025-01-01 08:35:00.807680,Payday,74.67,115.77
95,2025-01-01 08:35:27.292513,Normal,37.53,42.89
96,2025-01-01 08:35:53.013306,Payday,61.42,10.0
97,2025-01-01 08:35:57.034488,Normal,49.34,61.63
98,2025-01-01 08:36:04.841080,Payday,34.65,10.0
99,2025-01-01 08:36:06.974504,Normal,51.62,35.8
100,2025-01-01 08:36:57.786332,Payday,89.07,206.2
101,2025-01-01 08:37:53.897520,Payday,88.05,54.75
102,2025-01-01 08:38:26.684651,Normal,23.55,25.59
103,2025-01-01 08:38:42.451787,Normal,45.15,68.62
104,2025-01-01 08:38:49.588278,Payday,88.86,164.23
105,2025-01-01 08:38:56.895618,Normal,55.25,88.25
106,2025-01-01 08:39:56.621194,Normal,30.64,36.02
107,2025-01-01 08:40:09.436155,Payday,104.42,92.02
108,2025-01-01 08:40:15.585854,Payday,94.03,141.08
109,2025-01-01 08:40:24.280213,Normal,54.65,62.28
110,2025-01-01 08:41:19.234050,Normal,47.45,73.09
111,2025-01-01 08:41:30.155560,Payday,75.52,107.86
112,2025-01-01 08:41:55.834222,Payday,51.22,118.0
113,2025-01-01 08:41:58.104729,Payday,80.82,158.31
114,2025-01-01 08:42:37.453991,Payday,59.18,121.36
115,2025-01-01 08:42:50.114806,Normal,61.32,10.0
116,2025-01-01 08:43:28.789401,Payday,61.69,148.88
117,2025-01-01 08:43:32.014665,Payday,88.44,135.37
118,2025-01-01 08:43:56.187115,Payday,55.11,129.98
119,2025-01-01 08:43:58.291652,Payday,95.59,151.87
120,2025-01-01 08:44:01.161936,Normal,63.84,43.95
121,2025-01-01 08:44:44.680365,Payday,33.19,113.19
122,2025-01-01 08:45:00.655678,Payday,85.14,117.7
123,2025-01-01 08:45:07.008103,Payday,103.55,103.22
124,2025-01-01 08:45:19.612924,Payday,58.92,172.82
125,2025-01-01 08:45:47.284256,Normal,34.87,51.39
126,2025-01-01 08:46:16.097930,Payday,53.99,154.75
127,2025-01-01 08:46:25.292532,Payday,87.39,101.26
128,2025-01-01 08:46:30.951237,Payday,59.82,87.74
129,2025-01-01 08:47:05.494095,Payday,93.98,100.97
130,2025-01-01 08:47:08.929922,Payday,58.48,116.97
131,2025-01-01 08:47:36.578806,Payday,54.71,92.74
132,2025-01-01 08:47:38.327812,Payday,94.36,159.75
133,2025-01-01 08:47:59.995774,Payday,84.51,89.13
134,2025-01-01 08:48:15.989115,Normal,56.8,59.47
135,2025-01-01 08:48:38.065066,Payday,41.23,75.2
136,2025-01-01 08:48:59.540231,Payday,87.89,157.13
137,2025-01-01 08:49:36.870649,Normal,56.72,46.85
138,2025-01-01 08:49:56.190460,Payday,64.63,173.01
139,2025-01-01 08:50:40.376470,Normal,49.35,64.84
140,2025-01-01 08:50:47.495254,Payday,102.02,171.71
141,2025-01-01 08:50:56.627545,Normal,62.72,48.53
142,2025-01-01 08:51:26.703563,Payday,49.19,114.27
143,2025-01-01 08:51:46.536977,Normal,41.61,55.91
144,2025-01-01 08:52:00.921188,Normal,31.83,55.51
145,2025-01-01 08:52:04.110511,Payday,94.65,64.0
146,2025-01-01 08:52:19.893655,Normal,48.34,47.83
147,2025-01-01 08:52:48.437602,Payday,60.2,66.62
148,2025-01-01 08:53:48.802887,Payday,69.11,178.11
149,2025-01-01 08:54:06.858926,Payday,54.83,36.56
150,2025-01-01 08:54:50.940480,Normal,25.81,22.63
151,2025-01-01 08:54:53.778247,Payday,86.3,185.43
152,2025-01-01 08:56:28.393003,Payday,106.97,759.1
153,2025-01-01 08:56:28.852015,Payday,89.67,35.81
154,2025-01-01 08:57:03.660811,Payday,115.84,117.68
155,2025-01-01 08:57:17.795572,Normal,55.53,15.38
156,2025-01-01 08:58:06.933516,Payday,122.89,207.4
157,2025-01-01 08:58:17.817821,Payday,41.15,153.12
158,2025-01-01 08:58:20.981311,Normal,18.95,69.63
159,2025-01-01 08:59:13.877050,Payday,96.42,37.02
160,2025-01-01 08:59:55.492830,Payday,66.52,106.59
161,2025-01-01 09:00:28.351004,Normal,50.85,91.1
162,2025-01-01 09:00:50.400870,Normal,42.7,47.96
163,2025-01-01 09:01:45.503860,Payday,43.89,121.65
164,2025-01-01 09:02:05.003195,Payday,77.72,158.25
165,2025-01-01 09:02:39.856292,Normal,30.26,37.47
166,2025-01-01 09:03:21.143160,Normal,18.69,67.03
167,2025-01-01 09:04:28.816163,Normal,33.14,30.55
168,2025-01-01 09:04:45.936152,Payday,76.36,161.15
169,2025-01-01 09:05:00.820410,Normal,34.15,661.04
170,2025-01-01 09:05:07.947118,Normal,35.72,42.98
171,2025-01-01 09:05:17.957803,Payday,76.62,118.4
172,2025-01-01 09:05:34.959082,Normal,57.66,63.07
173,2025-01-01 09:05:37.687045,Normal,73.49,70.29
174,2025-01-01 09:05:54.638084,Normal,40.34,36.63
175,2025-01-01 09:06:25.784823,Normal,22.03,68.83
176,2025-01-01 09:06:45.722186,Payday,66.28,109.7
177,2025-01-01 09:06:48.731130,Payday,73.61,109.05
178,2025-01-01 09:06:53.709813,Normal,40.66,45.23
179,2025-01-01 09:07:11.455912,Normal,49.68,48.3
180,2025-01-01 09:07:12.926261,Payday,76.96,135.71
181,2025-01-01 09:08:02.415803,Normal,36.31,39.35
